lang,phrase,count
hi,ह,6
ha,න,5
si,ස ත ත ය,5
el,ευχαριστώ που παρακολουθήσατε,4
en,bye,4
fo,þeir agurðu áttu,4
ja,見てくれてありがとう,4
pt,tchau,4
ta,கள,4
ar,شكرا على المشاهدة,3
as,ɣɒm ɣɒm,3
en,thanks for watching,3
en,you,3
es,gracias por ver el video,3
fa,ممنون,3
fo,þeir agaðu áttu,3
he,תודה רבה,3
hi,thanks for watching,3
id,terima kasih telah menonton,3
ja,ご視聴ありがとうございました,3
jw,谢谢观看 下集再见,3
km,dshs stance,3
km,thank you for watching,3
kn,ಕ ಟ ಟ ನ ನ ಮ ತರ ಗ ಬ,3
kn,ದ ದ,3
lo,คร บ,3
mn,කරන න,3
mr,प रस त त र क रम व,3
mr,र,3
nn,谢谢观看 下集再见,3
pt,fim,3
pt,obrigado por assistir,3
ru,подписывайтесь на мой канал,3
ru,спасибо за просмотр,3
sw,kwa hivyo kwa hivyo,3
af,onderstand,2
af,so,2
ar,شكرا,2
ar,شكرا للمشاهدة,2
as,so,2
az,i zlədiyiniz üçün təşəkkürlər,2
ba,қарай қарай,2
ba,қауға қауға,2
be,установляйте субтитры на сайте,2
bn,india,2
bn,સ,2
bn,સ સ સ સ સ સ સ,2
bo,频道,2
br,merci d'avoir regardé cette vidéo,2
bs,hvala što pratite kanal,2
ca,gràcies,2
ca,gràcies per veure'm,2
ca,gràcies per veure'ns,2
cs,titulky vytvořil johnyx,2
el,ευχαριστώ,2
en,i m not sure if this is the right way to do it but i m not sure if this,2
en,satsang with mooji,2
en,subtitles by the amara org community,2
en,thank you,2
en,thank you for watching,2
en,thank you for watching please subscribe,2
en,thanks for watching please subscribe,2
en,the,2
es,críbete al canal gracias,2
et,tõe on kõige hea,2
et,tõmba ja teha,2
eu,eta hori garrantzitsua da,2
fi,kiitos,2
fi,kiitos kun katsoit,2
fi,kiitos kun katsoit tehdään yhdessä uutta videoa,2
fi,kiitos kun katsoit tämä on seuraava video kiitos,2
fo,þeir agarðu á þeir fyrir,2
fo,þeir agurðu fyrir,2
fo,þeir fyrir,2
fr,merci d'avoir regardé cette vidéo,2
fr,ontario,2
gl,ata la próxima,2
gl,vale vale vale vale,2
gu,अगर सबपट ख ल करत ह,2
gu,સ વ how how,2
ha,implant plant plant 3,2
ha,top croatian,2
ha,ye maha dorana,2
ha,ක ර මට ක ර මට ක ර මට,2
ha,න න,2
haw,thank you for watching,2
haw,thank you for watching please subscribe,2
haw,thanks for watching,2
haw,下集再会,2
hi,त र,2
hi,त ह,2
hi,र,2
hr,hvala što pratite kanal,2
ht,music,2
hu,köszi hogy megnézted,2
id,terima kasih sudah menonton jangan lupa subscribe like,2
it,grazie per la visione,2
jw,sampai jumpa,2
kk,құрсыңыз,2
kk,әріңіздер,2
km,ขอบค ณคร บ,2
km,ន ន ន,2
kn,ಗಳ,2
kn,ಯಲ ಲ,2
kn,ರ,2
kn,ವ ಗ ಸ ತ ದ ದ,2
ko,구독해주세요,2
ko,시청해 주셔서 감사합니다,2
ko,시청해주셔서 감사합니다,2
la,'s a big help to me,2
la,www fallingplates com,2
lb,en dan is er nog een jaar of een jaar,2
lb,merci d'avoir regardé cette vidéo,2
lb,sous titres par jérémy dupont,2
ln,kwa nafasha kwa mbili,2
lo,ขอบค ณส าหร บความชม ก,2
lo,ความส ขของค ณ,2
lo,ณ,2
lo,ดตามตอนต อไป,2
lo,ระว ง และ สว สด กระว,2
lo,อไป,2
lt,atsargiai,2
lv,un jūs esat iespējami,2
mg,merci pour votre attention,2
mg,sous titres par leonardo martinez,2
mg,sous titres par rafael moraes,2
mi,tēnā koe,2
mi,න,2
mk,се сочуваат со вашата система,2
mk,сеќава сеќава,2
ml,notified of upcoming videos,2
ml,thank you for watching,2
mn,මට ක ර මට ක ර මට ක ර,2
mn,ර මට ක ර මට ක ර මට ක,2
ms,terima kasih kerana menonton,2
mt,fa' ndi' b'għadħan ndi' b'għadħan ndi' b'għadħan,2
my,多謝您的觀看,2
ne,thanks for watching,2
nl,tv gelderland 2021,2
nn,thank you for watching,2
nn,ご視聴ありがとうございました,2
oc,la ciudad de san juan de la paz,2
pa,ko,2
pl,dziękuje za oglądanie,2
pt,até a próxima,2
pt,e aí,2
pt,eu acho que eu vou,2
pt,fui,2
pt,obrigada por assistir,2
pt,é isso aí,2
pt,é isso aí valeu,2
ro,să ne vedem la următoarea mea rețetă,2
ro,să ne vedem în următoarea mea rețetă,2
ro,să vă mulțumim pentru vizionare,2
ru,подписывайтесь на наш канал,2
sa,න ස ට ය,2
sd,please subscribe to my channel,2
sd,ह,2
si,ක ර මට ක ර මට ක ර මට,2
si,ක ර මට ස ත ත ය,2
si,ප රහන ප රහන ප රහන,2
si,ප රහන ස ත ත ය,2
si,මට ක ර මට ක ර මට ක ර,2
si,ය,2
sn,share this video with your friends on social media,2
sn,subscribe to my channel thank you,2
sn,thank you for watching please subscribe,2
sn,งงงง,2
sn,ご視聴ありがとうございました,2
sr,и,2
sr,субтитри одбрани на канал,2
sr,субтитри са симонима,2
su,sampai jumpa di video selanjutnya,2
su,sub indo by broth3rmax,2
su,terima kasih atas dukungan anda,2
su,terima kasih telah menonton,2
sv,tack för mig,2
sv,tack till elever och personal vid säkerhetssättet,2
ta,க க ண ட வர க ற ய,2
ta,க ள ள ங கள,2
ta,கள ய ம பற ற ய வ ஷயங,2
ta,ங கள,2
ta,வர க ற ர கள,2
tg,барабанна кандидатка,2
tg,барабанна кистка,2
tg,барабанна кишка,2
tg,қол ҳырдан дұрб қол ҳырдан дұрб,2
th,โปรดต ดตามตอนต อไป,2
tk,арай,2
tk,қарай қарай,2
tk,қарай қарай қарай қарай,2
tk,қарай қарай қарай қарай қарай қ,2
tl,subscribe,2
tr,abone ol,2
tt,seven by seven,2
uk,дякую за перегляд,2
ur,ملتا ہے,2
ur,کریں,2
ur,ہیں,2
ur,ہے,2
ur,یکھنا چاہتے ہیں,2
vi,hãy đăng kí kênh để ủng hộ mình nhé,2
vi,hẹn đại gia đình video tiếp theo nhé,2
vi,mới nhé,2
vi,những video hấp dẫn,2
vi,theo,2
yi,אהלן,2
yo,sosirwe com au,2
yo,sosoko,2
yo,sosoko com au,2
yo,sosokyo,2
yo,thank you for watching please subscribe,2
yo,thank you for watching please subscribe to my channel,2
yo,thank you for watching please subscribe to support us,2
yue,thank you for watching please subscribe,2
zh,謝謝觀看 下次見,2
af,belangrijke bestiening,1
af,belangrijke komtuin,1
af,blijven alle passagiers buiten de heer ramps en landingen,1
af,een gewoonde slag is nie,1
af,en dan gaan we de rest van de dag nog eens proberen,1
af,en dit is het,1
af,gedaan,1
af,is,1
af,is al een paar uur geleden dat ik dit gedurende de dag heb,1
af,is al eens een beetje te laat,1
af,mag ek uw aandacht hê die fagot sal korte bewege voor u,1
af,o wat een mooie dag,1
af,oh,1
af,okay,1
af,onderschatting by simon van der leeuwen,1
af,onderschatting met sint ewaard van der linden,1
af,onderspreeuwt u dit,1
af,onderstand ondertitels door die amara org gemeenschap,1
af,ondertitels door die amara org gemeenschap,1
af,ondertitels door die amara org kumpel,1
af,ondertussen is het er een paar uur gedurende de dag en het,1
af,ou het een eiende,1
af,sint gerrit van der poort die het een oude kasteel in het,1
af,sous titres by thebettahloop com,1
af,stefan die is nie,1
af,succes,1
af,te doen,1
af,te wens,1
af,van,1
af,veiligheid,1
af,volg ons kanaal voor meer handige video's,1
af,water gehaald,1
am,2 6 door,1
am,a,1
am,ara,1
am,arguably and perhaps unnecessarily in some cases,1
am,billet,1
am,billet a,1
am,but i must let you go,1
am,com funders org,1
am,desert paineng balls,1
am,driven,1
am,dá da,1
am,embarrassed,1
am,fac aced ba cɜcnt ex 9,1
am,fcdc ca,1
am,follow me on instagram,1
am,follows video by chumay quite a few times even though,1
am,goo,1
am,hashtag zainab polish,1
am,hmmm,1
am,hope you liked this video please subscribe thumb up and,1
am,i learned it a number of times,1
am,inquilaba com,1
am,just wasn't sure i'm going to make this for those who are g,1
am,music,1
am,my love by your side,1
am,ography by iago,1
am,or shall i use a paraphernalia to flaunt what i am today,1
am,ovitas,1
am,owania,1
am,rainbow,1
am,riminal,1
am,rowing leaves,1
am,sabo sabo sabo have fun,1
am,seari,1
am,share with your friends for more,1
am,so maybe i will in the near future 6 or 7 years,1
am,subscribe,1
am,t taylor,1
am,tae,1
